% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec ut_id latitude_deg longitude_deg altitude_m
104.4 9 55.95 100.85 0
105.6 0 56 92.95 0
105.6 1 56.03 93 0
105.6 2 55.98 92.9 0
105.6 3 56.05 93.05 0
105.6 4 55.95 92.85 0
105.6 5 56 100.95 0
105.6 6 56.03 101 0
105.6 7 55.98 100.9 0
105.6 8 56.05 101.05 0
105.6 9 55.95 100.85 0
106.8 0 56 92.95 0
106.8 1 56.03 93 0
106.8 2 55.98 92.9 0
106.8 3 56.05 93.05 0
106.8 4 55.95 92.85 0
106.8 5 56 100.95 0
106.8 6 56.03 101 0
106.8 7 55.98 100.9 0
106.8 8 56.05 101.05 0
106.8 9 55.95 100.85 0
108 0 56 92.95 0
108 1 56.03 93 0
108 2 55.98 92.9 0
108 3 56.05 93.05 0
108 4 55.95 92.85 0
108 5 56 100.95 0
108 6 56.03 101 0
108 7 55.98 100.9 0
108 8 56.05 101.05 0
108 9 55.95 100.85 0
109.2 0 56 92.95 0
109.2 1 56.03 93 0
109.2 2 55.98 92.9 0
109.2 3 56.05 93.05 0
109.2 4 55.95 92.85 0
109.2 5 56 100.95 0
109.2 6 56.03 101 0
109.2 7 55.98 100.9 0
109.2 8 56.05 101.05 0
109.2 9 55.95 100.85 0
110.4 0 56 92.95 0
110.4 1 56.03 93 0
110.4 2 55.98 92.9 0
110.4 3 56.05 93.05 0
110.4 4 55.95 92.85 0
110.4 5 56 100.95 0
110.4 6 56.03 101 0
110.4 7 55.98 100.9 0
110.4 8 56.05 101.05 0
110.4 9 55.95 100.85 0
111.6 0 56 92.95 0
111.6 1 56.03 93 0
111.6 2 55.98 92.9 0
111.6 3 56.05 93.05 0
