% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec ut_id latitude_deg longitude_deg altitude_m
32 0 20 110 0
32 1 21 111 0
32 2 19 110 0
32 3 18 115 0
32 4 15 120 0
33 0 20 110 0
33 1 21 111 0
33 2 19 110 0
33 3 18 115 0
33 4 15 120 0
34 0 20 110 0
34 1 21 111 0
34 2 19 110 0
34 3 18 115 0
34 4 15 120 0
35 0 20 110 0
35 1 21 111 0
35 2 19 110 0
35 3 18 115 0
35 4 15 120 0
36 0 20 110 0
36 1 21 111 0
36 2 19 110 0
36 3 18 115 0
36 4 15 120 0
37 0 20 110 0
37 1 21 111 0
37 2 19 110 0
37 3 18 115 0
37 4 15 120 0
38 0 20 110 0
38 1 21 111 0
38 2 19 110 0
38 3 18 115 0
38 4 15 120 0
39 0 20 110 0
39 1 21 111 0
39 2 19 110 0
39 3 18 115 0
39 4 15 120 0
40 0 20 110 0
40 1 21 111 0
40 2 19 110 0
40 3 18 115 0
40 4 15 120 0
41 0 20 110 0
41 1 21 111 0
41 2 19 110 0
41 3 18 115 0
41 4 15 120 0
42 0 20 110 0
42 1 21 111 0
42 2 19 110 0
42 3 18 115 0
42 4 15 120 0
43 0 20 110 0
43 1 21 111 0
43 2 19 110 0
43 3 18 115 0
43 4 15 120 0
44 0 20 110 0
44 1 21 111 0
44 2 19 110 0
44 3 18 115 0
44 4 15 120 0
45 0 20 110 0
45 1 21 111 0
45 2 19 110 0
45 3 18 115 0
45 4 15 120 0
46 0 20 110 0
46 1 21 111 0
46 2 19 110 0
46 3 18 115 0
46 4 15 120 0
47 0 20 110 0
47 1 21 111 0
47 2 19 110 0
47 3 18 115 0
47 4 15 120 0
48 0 20 110 0
48 1 21 111 0
48 2 19 110 0
48 3 18 115 0
48 4 15 120 0
49 0 20 110 0
49 1 21 111 0
49 2 19 110 0
49 3 18 115 0
49 4 15 120 0
50 0 20 110 0
50 1 21 111 0
50 2 19 110 0
50 3 18 115 0
50 4 15 120 0
51 0 20 110 0
51 1 21 111 0
51 2 19 110 0
51 3 18 115 0
51 4 15 120 0
52 0 20 110 0
52 1 21 111 0
52 2 19 110 0
52 3 18 115 0
52 4 15 120 0
53 0 20 110 0
53 1 21 111 0
53 2 19 110 0
53 3 18 115 0
53 4 15 120 0
54 0 20 110 0
54 1 21 111 0
54 2 19 110 0
54 3 18 115 0
54 4 15 120 0
55 0 20 110 0
55 1 21 111 0
55 2 19 110 0
55 3 18 115 0
55 4 15 120 0
56 0 20 110 0
56 1 21 111 0
56 2 19 110 0
56 3 18 115 0
56 4 15 120 0
57 0 20 110 0
57 1 21 111 0
57 2 19 110 0
57 3 18 115 0
57 4 15 120 0
58 0 20 110 0
58 1 21 111 0
58 2 19 110 0
58 3 18 115 0
58 4 15 120 0
59 0 20 110 0
59 1 21 111 0
59 2 19 110 0
59 3 18 115 0
59 4 15 120 0
60 0 20 110 0
60 1 21 111 0
60 2 19 110 0
60 3 18 115 0
60 4 15 120 0
61 0 20 110 0
61 1 21 111 0
61 2 19 110 0
61 3 18 115 0
61 4 15 120 0
62 0 20 110 0
62 1 21 111 0
62 2 19 110 0
62 3 18 115 0
62 4 15 120 0
63 0 20 110 0
63 1 21 111 0
63 2 19 110 0
63 3 18 115 0
63 4 15 120 0
64 0 20 110 0
64 1 21 111 0
64 2 19 110 0
64 3 18 115 0
64 4 15 120 0
65 0 20 110 0
65 1 21 111 0
65 2 19 110 0
65 3 18 115 0
65 4 15 120 0
66 0 20 110 0
66 1 21 111 0
66 2 19 110 0
66 3 18 115 0
66 4 15 120 0
67 0 20 110 0
67 1 21 111 0
67 2 19 110 0
67 3 18 115 0
67 4 15 120 0
68 0 20 110 0
68 1 21 111 0
68 2 19 110 0
68 3 18 115 0
68 4 15 120 0
69 0 20 110 0
69 1 21 111 0
69 2 19 110 0
69 3 18 115 0
69 4 15 120 0
70 0 20 110 0
70 1 21 111 0
70 2 19 110 0
70 3 18 115 0
70 4 15 120 0
71 0 20 110 0
71 1 21 111 0
71 2 19 110 0
71 3 18 115 0
71 4 15 120 0
72 0 20 110 0
