# time lat lon alt
291.000 56.037100684 92.956781836 20000.000
292.000 56.037180210 92.956706716 20000.000
293.000 56.037259665 92.956631359 20000.000
294.000 56.037339050 92.956555766 20000.000
295.000 56.037418365 92.956479936 20000.000
296.000 56.037497609 92.956403870 20000.000
297.000 56.037576782 92.956327567 20000.000
298.000 56.037655884 92.956251029 20000.000
299.000 56.037734914 92.956174255 20000.000
300.000 56.037813873 92.956097245 20000.000
301.000 56.037892759 92.956020000 20000.000
302.000 56.037971574 92.955942520 20000.000
303.000 56.038050317 92.955864805 20000.000
304.000 56.038128986 92.955786856 20000.000
305.000 56.038207584 92.955708672 20000.000
306.000 56.038286108 92.955630254 20000.000
307.000 56.038364559 92.955551602 20000.000
308.000 56.038442937 92.955472716 20000.000
309.000 56.038521241 92.955393596 20000.000
310.000 56.038599471 92.955314243 20000.000
311.000 56.038677627 92.955234657 20000.000
312.000 56.038755709 92.955154838 20000.000
313.000 56.038833717 92.955074787 20000.000
314.000 56.038911649 92.954994502 20000.000
315.000 56.038989507 92.954913986 20000.000
316.000 56.039067290 92.954833238 20000.000
317.000 56.039144997 92.954752258 20000.000
318.000 56.039222629 92.954671046 20000.000
319.000 56.039300185 92.954589603 20000.000
320.000 56.039377665 92.954507929 20000.000
321.000 56.039455069 92.954426024 20000.000
322.000 56.039532397 92.954343888 20000.000
323.000 56.039609648 92.954261522 20000.000
324.000 56.039686822 92.954178926 20000.000
325.000 56.039763918 92.954096099 20000.000
326.000 56.039840938 92.954013043 20000.000
327.000 56.039917880 92.953929758 20000.000
328.000 56.039994745 92.953846243 20000.000
329.000 56.040071531 92.953762499 20000.000
330.000 56.040148240 92.953678527 20000.000
331.000 56.040224870 92.953594325 20000.000
332.000 56.040301421 92.953509896 20000.000
333.000 56.040377894 92.953425238 20000.000
334.000 56.040454288 92.953340352 20000.000
335.000 56.040530602 92.953255239 20000.000
336.000 56.040606837 92.953169898 20000.000
337.000 56.040682993 92.953084331 20000.000
338.000 56.040759069 92.952998536 20000.000
339.000 56.040835064 92.952912514 20000.000
340.000 56.040910980 92.952826267 20000.000
341.000 56.040986815 92.952739792 20000.000
342.000 56.041062569 92.952653092 20000.000
